,Date,Adj Close,Volume,Ticker,Quarter,Quarter-Year
0,7/1/2017,4.05,2756300,AMRS,3,2017
1,8/1/2017,2.47,10195500,AMRS,3,2017
2,9/1/2017,3.2,7593400,AMRS,3,2017
3,10/1/2017,3.13,4362400,AMRS,4,2017
4,11/1/2017,3.63,6472900,AMRS,4,2017
5,12/1/2017,3.75,3352600,AMRS,4,2017
6,1/1/2018,4.9,9016700,AMRS,1,2018
7,2/1/2018,5.29,7943200,AMRS,1,2018
8,3/1/2018,6.69,17505800,AMRS,1,2018
9,4/1/2018,6.61,12353400,AMRS,2,2018
10,5/1/2018,5.17,16732500,AMRS,2,2018
11,6/1/2018,6.39,17716600,AMRS,2,2018
12,7/1/2018,6.87,10503400,AMRS,3,2018
13,8/1/2018,8.97,25621100,AMRS,3,2018
14,9/1/2018,7.94,21019200,AMRS,3,2018
15,10/1/2018,7.45,24733300,AMRS,4,2018
16,11/1/2018,4.94,35976700,AMRS,4,2018
17,12/1/2018,3.34,27016800,AMRS,4,2018
18,1/1/2019,3.39,17616900,AMRS,1,2019
19,2/1/2019,4.74,117052700,AMRS,1,2019
20,3/1/2019,2.09,69266600,AMRS,1,2019
21,4/1/2019,4.48,96785500,AMRS,2,2019
22,5/1/2019,3.39,23988500,AMRS,2,2019
23,6/1/2019,3.56,13242700,AMRS,2,2019
24,7/1/2019,3.09,13721700,AMRS,3,2019
25,8/1/2019,3.78,21184700,AMRS,3,2019
26,9/1/2019,4.76,17328100,AMRS,3,2019
27,10/1/2019,3.32,17977700,AMRS,4,2019
28,11/1/2019,4.02,16489200,AMRS,4,2019
29,12/1/2019,3.09,29166000,AMRS,4,2019
30,1/1/2020,2.56,33352000,AMRS,1,2020
31,2/1/2020,3.19,50494900,AMRS,1,2020
32,3/1/2020,2.56,60888800,AMRS,1,2020
33,4/1/2020,2.7,26555300,AMRS,2,2020
34,5/1/2020,3.73,45584900,AMRS,2,2020
35,6/1/2020,4.27,91617400,AMRS,2,2020
36,7/1/2020,4.78,5738700,AMRS,3,2020
37,7/6/2020,4.765,3841146,AMRS,3,2020
0,7/1/2017,14.04,66428900,CARA,3,2017
1,8/1/2017,14.27,29171000,CARA,3,2017
2,9/1/2017,13.69,15933200,CARA,3,2017
3,10/1/2017,12.54,17563100,CARA,4,2017
4,11/1/2017,12.45,16213900,CARA,4,2017
5,12/1/2017,12.24,17876500,CARA,4,2017
6,1/1/2018,14.67,29472500,CARA,1,2018
7,2/1/2018,13.98,17503400,CARA,1,2018
8,3/1/2018,12.38,17978500,CARA,1,2018
9,4/1/2018,12.38,10520900,CARA,2,2018
10,5/1/2018,15.64,37612600,CARA,2,2018
11,6/1/2018,19.15,30634200,CARA,2,2018
12,7/1/2018,17.93,19971300,CARA,3,2018
13,8/1/2018,20.17,14760500,CARA,3,2018
14,9/1/2018,23.950001,15331600,CARA,3,2018
15,10/1/2018,18.74,14128200,CARA,4,2018
16,11/1/2018,18.18,9052600,CARA,4,2018
17,12/1/2018,13.0,14171000,CARA,4,2018
18,1/1/2019,15.25,13213400,CARA,1,2019
19,2/1/2019,17.049999,10941300,CARA,1,2019
20,3/1/2019,19.620001000000002,15553100,CARA,1,2019
21,4/1/2019,19.08,14114400,CARA,2,2019
22,5/1/2019,20.559998999999998,22221800,CARA,2,2019
23,6/1/2019,21.5,12101600,CARA,2,2019
24,7/1/2019,23.940001000000002,23678100,CARA,3,2019
25,8/1/2019,23.440001000000002,13541900,CARA,3,2019
26,9/1/2019,18.280001000000002,15564400,CARA,3,2019
27,10/1/2019,20.76,10084300,CARA,4,2019
28,11/1/2019,25.98,9839000,CARA,4,2019
29,12/1/2019,16.110001,23490900,CARA,4,2019
30,1/1/2020,16.1,13619800,CARA,1,2020
31,2/1/2020,15.03,8708600,CARA,1,2020
32,3/1/2020,13.21,12527300,CARA,1,2020
33,4/1/2020,14.82,10636500,CARA,2,2020
34,5/1/2020,15.87,11880400,CARA,2,2020
35,6/1/2020,17.1,12341200,CARA,2,2020
36,7/1/2020,17.52,1004100,CARA,3,2020
37,7/6/2020,17.57,278927,CARA,3,2020
0,7/1/2017,5.95,9319200,CRBP,3,2017
1,8/1/2017,7.75,11179800,CRBP,3,2017
2,9/1/2017,7.15,9036300,CRBP,3,2017
3,10/1/2017,7.1,20267500,CRBP,4,2017
4,11/1/2017,6.95,18252200,CRBP,4,2017
5,12/1/2017,7.1,12329400,CRBP,4,2017
6,1/1/2018,7.5,26275600,CRBP,1,2018
7,2/1/2018,7.4,17588900,CRBP,1,2018
8,3/1/2018,6.1,15423200,CRBP,1,2018
9,4/1/2018,5.95,9177900,CRBP,2,2018
10,5/1/2018,6.2,14850200,CRBP,2,2018
11,6/1/2018,5.05,10720100,CRBP,2,2018
12,7/1/2018,5.05,7862800,CRBP,3,2018
13,8/1/2018,5.85,7971100,CRBP,3,2018
14,9/1/2018,7.55,44679200,CRBP,3,2018
15,10/1/2018,6.66,34888800,CRBP,4,2018
16,11/1/2018,6.9,14013500,CRBP,4,2018
17,12/1/2018,5.84,11124000,CRBP,4,2018
18,1/1/2019,7.56,26846700,CRBP,1,2019
19,2/1/2019,6.94,32741800,CRBP,1,2019
20,3/1/2019,6.95,43355400,CRBP,1,2019
21,4/1/2019,7.14,26268500,CRBP,2,2019
22,5/1/2019,7.01,20565300,CRBP,2,2019
23,6/1/2019,6.93,16159200,CRBP,2,2019
24,7/1/2019,6.0,10311500,CRBP,3,2019
25,8/1/2019,5.18,16180700,CRBP,3,2019
26,9/1/2019,4.87,10721900,CRBP,3,2019
27,10/1/2019,5.17,9984600,CRBP,4,2019
28,11/1/2019,4.7,17403200,CRBP,4,2019
29,12/1/2019,5.46,12586600,CRBP,4,2019
30,1/1/2020,6.47,15593500,CRBP,1,2020
31,2/1/2020,4.74,24371900,CRBP,1,2020
32,3/1/2020,5.24,25600600,CRBP,1,2020
33,4/1/2020,6.48,16645300,CRBP,2,2020
34,5/1/2020,7.46,22591100,CRBP,2,2020
35,6/1/2020,8.39,40015500,CRBP,2,2020
36,7/1/2020,7.95,3055500,CRBP,3,2020
37,7/6/2020,7.91,1272281,CRBP,3,2020
0,7/1/2017,16.431901999999997,839000,IIPR,3,2017
1,8/1/2017,15.37846,579000,IIPR,3,2017
2,9/1/2017,16.83707,552800,IIPR,3,2017
3,10/1/2017,17.892715,844100,IIPR,4,2017
4,11/1/2017,16.476549,473600,IIPR,4,2017
5,12/1/2017,29.330978,3151500,IIPR,4,2017
6,1/1/2018,26.169472,8987100,IIPR,1,2018
7,2/1/2018,22.862787,2306800,IIPR,1,2018
8,3/1/2018,24.50239,2837800,IIPR,1,2018
9,4/1/2018,31.574244,2213800,IIPR,2,2018
10,5/1/2018,34.746468,2661900,IIPR,2,2018
11,6/1/2018,33.867863,3870200,IIPR,2,2018
12,7/1/2018,30.150181,2067400,IIPR,3,2018
13,8/1/2018,42.273567,2803000,IIPR,3,2018
14,9/1/2018,44.917992,4048800,IIPR,3,2018
15,10/1/2018,38.454971,7275900,IIPR,4,2018
16,11/1/2018,46.297943,6528400,IIPR,4,2018
17,12/1/2018,42.582851,4265000,IIPR,4,2018
18,1/1/2019,58.548267,4316500,IIPR,1,2019
19,2/1/2019,74.68875899999999,10847400,IIPR,1,2019
20,3/1/2019,77.24173,9905200,IIPR,1,2019
21,4/1/2019,80.922432,8455700,IIPR,2,2019
22,5/1/2019,79.867416,7148300,IIPR,2,2019
23,6/1/2019,117.439224,11930500,IIPR,2,2019
24,7/1/2019,100.919044,14726000,IIPR,3,2019
25,8/1/2019,85.151352,8854300,IIPR,3,2019
26,9/1/2019,88.21701800000001,9975000,IIPR,3,2019
27,10/1/2019,73.183266,9577500,IIPR,4,2019
28,11/1/2019,74.54100799999999,8276500,IIPR,4,2019
29,12/1/2019,73.058075,8776100,IIPR,4,2019
30,1/1/2020,87.342224,13321500,IIPR,1,2020
31,2/1/2020,89.723404,8823300,IIPR,1,2020
32,3/1/2020,74.099388,14987600,IIPR,1,2020
33,4/1/2020,77.52825899999999,9115300,IIPR,2,2020
34,5/1/2020,80.749542,7249400,IIPR,2,2020
35,6/1/2020,86.974724,10630200,IIPR,2,2020
36,7/1/2020,92.790001,3043000,IIPR,3,2020
37,7/6/2020,96.43,437068,IIPR,3,2020
0,7/1/2017,4.88,4717000,NBEV,3,2017
1,8/1/2017,4.23,7131500,NBEV,3,2017
2,9/1/2017,3.41,5108900,NBEV,3,2017
3,10/1/2017,2.34,7621000,NBEV,4,2017
4,11/1/2017,2.26,6832400,NBEV,4,2017
5,12/1/2017,2.17,4775200,NBEV,4,2017
6,1/1/2018,3.58,33135900,NBEV,1,2018
7,2/1/2018,3.22,5850600,NBEV,1,2018
8,3/1/2018,2.42,5906000,NBEV,1,2018
9,4/1/2018,1.84,15255500,NBEV,2,2018
10,5/1/2018,1.79,7738800,NBEV,2,2018
11,6/1/2018,1.87,7681400,NBEV,2,2018
12,7/1/2018,2.03,5147300,NBEV,3,2018
13,8/1/2018,1.48,15335700,NBEV,3,2018
14,9/1/2018,5.35,572775200,NBEV,3,2018
15,10/1/2018,4.53,549101100,NBEV,4,2018
16,11/1/2018,4.63,244416100,NBEV,4,2018
17,12/1/2018,5.2,304233100,NBEV,4,2018
18,1/1/2019,7.11,273497900,NBEV,1,2019
19,2/1/2019,5.87,152620300,NBEV,1,2019
20,3/1/2019,5.26,91037200,NBEV,1,2019
21,4/1/2019,5.4,195986300,NBEV,2,2019
22,5/1/2019,5.06,71940100,NBEV,2,2019
23,6/1/2019,4.66,66102200,NBEV,2,2019
24,7/1/2019,3.74,50204700,NBEV,3,2019
25,8/1/2019,3.04,45144600,NBEV,3,2019
26,9/1/2019,2.76,42588600,NBEV,3,2019
27,10/1/2019,2.69,49776800,NBEV,4,2019
28,11/1/2019,2.16,31915400,NBEV,4,2019
29,12/1/2019,1.82,38357500,NBEV,4,2019
30,1/1/2020,1.74,50286300,NBEV,1,2020
31,2/1/2020,2.02,60557300,NBEV,1,2020
32,3/1/2020,1.39,54972100,NBEV,1,2020
33,4/1/2020,1.41,53879300,NBEV,2,2020
34,5/1/2020,1.51,45497100,NBEV,2,2020
35,6/1/2020,1.53,49963600,NBEV,2,2020
36,7/1/2020,1.5,3457400,NBEV,3,2020
37,7/6/2020,1.53,1665808,NBEV,3,2020
0,7/1/2018,22.1,51529700,TLRY,3,2018
1,8/1/2018,65.199997,117644200,TLRY,3,2018
2,9/1/2018,143.619995,296416200,TLRY,3,2018
3,10/1/2018,94.790001,110004300,TLRY,4,2018
4,11/1/2018,102.449997,52491800,TLRY,4,2018
5,12/1/2018,70.540001,42240400,TLRY,4,2018
6,1/1/2019,80.489998,85659400,TLRY,1,2019
7,2/1/2019,81.309998,38365300,TLRY,1,2019
8,3/1/2019,65.519997,38101500,TLRY,1,2019
9,4/1/2019,51.330002,33436000,TLRY,2,2019
10,5/1/2019,38.009997999999996,30601200,TLRY,2,2019
11,6/1/2019,46.560001,43915500,TLRY,2,2019
12,7/1/2019,40.82,21319700,TLRY,3,2019
13,8/1/2019,25.67,46358200,TLRY,3,2019
14,9/1/2019,24.74,38192100,TLRY,3,2019
15,10/1/2019,22.309998999999998,30859900,TLRY,4,2019
16,11/1/2019,19.84,38533800,TLRY,4,2019
17,12/1/2019,17.129998999999998,38609300,TLRY,4,2019
18,1/1/2020,17.540001,102086900,TLRY,1,2020
19,2/1/2020,14.43,57861700,TLRY,1,2020
20,3/1/2020,6.88,331837900,TLRY,1,2020
21,4/1/2020,8.05,266932300,TLRY,2,2020
22,5/1/2020,9.85,281637600,TLRY,2,2020
23,6/1/2020,7.11,167309000,TLRY,2,2020
24,7/1/2020,6.96,8739100,TLRY,3,2020
25,7/6/2020,7.85,13490254,TLRY,3,2020
0,11/1/2017,5.2,659900,YCBD,4,2017
1,12/1/2017,4.35,169500,YCBD,4,2017
2,1/1/2018,4.9319999999999995,145600,YCBD,1,2018
3,2/1/2018,4.0,235900,YCBD,1,2018
4,3/1/2018,4.19,210600,YCBD,1,2018
5,4/1/2018,4.984,556000,YCBD,2,2018
6,5/1/2018,4.72,1209100,YCBD,2,2018
7,6/1/2018,3.7,716700,YCBD,2,2018
8,7/1/2018,3.41,271300,YCBD,3,2018
9,8/1/2018,3.49,1404300,YCBD,3,2018
10,9/1/2018,3.63,4727300,YCBD,3,2018
11,10/1/2018,3.74,23817800,YCBD,4,2018
12,11/1/2018,4.15,2258500,YCBD,4,2018
13,12/1/2018,3.09,7773900,YCBD,4,2018
14,1/1/2019,4.74,3196200,YCBD,1,2019
15,2/1/2019,4.37,3059100,YCBD,1,2019
16,3/1/2019,4.42,2074400,YCBD,1,2019
17,4/1/2019,6.08,5023300,YCBD,2,2019
18,5/1/2019,6.12,9147400,YCBD,2,2019
19,6/1/2019,5.9,5373900,YCBD,2,2019
20,7/1/2019,4.35,4805600,YCBD,3,2019
21,8/1/2019,4.1,3511500,YCBD,3,2019
22,9/1/2019,3.96,3002700,YCBD,3,2019
23,10/1/2019,3.52,2382400,YCBD,4,2019
24,11/1/2019,3.25,2491900,YCBD,4,2019
25,12/1/2019,2.26,3638400,YCBD,4,2019
26,1/1/2020,1.04,29387600,YCBD,1,2020
27,2/1/2020,1.02,15241200,YCBD,1,2020
28,3/1/2020,0.93,13390900,YCBD,1,2020
29,4/1/2020,0.963,21738800,YCBD,2,2020
30,5/1/2020,1.47,73897400,YCBD,2,2020
31,6/1/2020,1.91,29392000,YCBD,2,2020
32,7/1/2020,1.95,2413200,YCBD,3,2020
33,7/6/2020,2.41,5158653,YCBD,3,2020
0,2018-02-01,9.17,12676400,CRON,1,2018
1,2018-03-01,6.73,69593600,CRON,1,2018
2,2018-04-01,6.91,47660200,CRON,2,2018
3,2018-05-01,6.24,56984900,CRON,2,2018
4,2018-06-01,6.52,108259400,CRON,2,2018
5,2018-07-01,6.05,38727700,CRON,3,2018
6,2018-08-01,9.88,418095000,CRON,3,2018
7,2018-09-01,11.12,613675700,CRON,3,2018
8,2018-10-01,7.42,304957800,CRON,4,2018
9,2018-11-01,9.15,151518900,CRON,4,2018
10,2018-12-01,10.39,248240300,CRON,4,2018
11,2019-01-01,19.68,305723800,CRON,1,2019
12,2019-02-01,21.639999,480222900,CRON,1,2019
13,2019-03-01,18.43,222901000,CRON,1,2019
14,2019-04-01,17.16,122316800,CRON,2,2019
15,2019-05-01,14.08,105984200,CRON,2,2019
16,2019-06-01,15.98,108669900,CRON,2,2019
17,2019-07-01,13.81,74765400,CRON,3,2019
18,2019-08-01,11.02,102697100,CRON,3,2019
19,2019-09-01,9.05,72109300,CRON,3,2019
20,2019-10-01,8.21,158015600,CRON,4,2019
21,2019-11-01,6.85,190919800,CRON,4,2019
22,2019-12-01,7.67,124616900,CRON,4,2019
23,2020-01-01,7.18,263835000,CRON,1,2020
24,2020-02-01,5.85,134869400,CRON,1,2020
25,2020-03-01,5.67,149384800,CRON,1,2020
26,2020-04-01,5.94,95603600,CRON,2,2020
27,2020-05-01,6.53,159539900,CRON,2,2020
28,2020-06-01,6.01,128983300,CRON,2,2020
29,2020-07-01,6.17,4297700,CRON,3,2020
30,2020-07-02,6.17,2169379,CRON,3,2020
0,2017-07-01,111.779999,5809800,GWPH,3,2017
1,2017-08-01,105.82,7945400,GWPH,3,2017
2,2017-09-01,101.489998,7229700,GWPH,3,2017
3,2017-10-01,107.949997,7498000,GWPH,4,2017
4,2017-11-01,124.489998,7940800,GWPH,4,2017
5,2017-12-01,132.009995,8666600,GWPH,4,2017
6,2018-01-01,138.130005,8681400,GWPH,1,2018
7,2018-02-01,113.639999,8322600,GWPH,1,2018
8,2018-03-01,112.66999799999999,6103500,GWPH,1,2018
9,2018-04-01,132.91000400000001,10639600,GWPH,2,2018
